id,name,price,category,desc,image
p001,極簡馬克杯,850,居家生活,這是為您精選的極簡馬克杯，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p001/200/200
p002,防潑水空拍機,650,科技酷玩,這是為您精選的防潑水空拍機，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p002/200/200
p003,極簡隨身風扇,850,戶外休閒,這是為您精選的極簡隨身風扇，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p003/200/200
p004,高質感永生花,1900,禮品精選,這是為您精選的高質感永生花，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p004/200/200
p005,無線便利貼,1900,辦公文具,這是為您精選的無線便利貼，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p005/200/200
p006,天然香水,1350,美容保養,這是為您精選的天然香水，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p006/200/200
p007,輕量地毯,600,居家生活,這是為您精選的輕量地毯，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p007/200/200
p008,無印風無線耳機,300,科技酷玩,這是為您精選的無印風無線耳機，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p008/200/200
p009,多功能太陽眼鏡,650,戶外休閒,這是為您精選的多功能太陽眼鏡，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p009/200/200
p010,人體工學手工皂,1850,禮品精選,這是為您精選的人體工學手工皂，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p010/200/200
p011,輕量口紅膠,1250,辦公文具,這是為您精選的輕量口紅膠，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p011/200/200
p012,復古護手霜,1150,美容保養,這是為您精選的復古護手霜，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p012/200/200
p013,環保掛鐘,1350,居家生活,這是為您精選的環保掛鐘，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p013/200/200
p014,極簡行動電源,2150,科技酷玩,這是為您精選的極簡行動電源，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p014/200/200
p015,復古保冷袋,300,戶外休閒,這是為您精選的復古保冷袋，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p015/200/200
p016,智能永生花,2200,禮品精選,這是為您精選的智能永生花，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p016/200/200
p017,極簡剪刀,1950,辦公文具,這是為您精選的極簡剪刀，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p017/200/200
p018,人體工學護手霜,1900,美容保養,這是為您精選的人體工學護手霜，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p018/200/200
p019,便攜抱枕,1000,居家生活,這是為您精選的便攜抱枕，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p019/200/200
p020,便攜平板支架,1450,科技酷玩,這是為您精選的便攜平板支架，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p020/200/200
p021,便攜隨身風扇,350,戶外休閒,這是為您精選的便攜隨身風扇，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p021/200/200
p022,無印風手工皂,1600,禮品精選,這是為您精選的無印風手工皂，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p022/200/200
p023,無線筆筒,1350,辦公文具,這是為您精選的無線筆筒，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p023/200/200
p024,輕量洗面乳,950,美容保養,這是為您精選的輕量洗面乳，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p024/200/200
p025,多功能抱枕,300,居家生活,這是為您精選的多功能抱枕，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p025/200/200
p026,無印風充電座,850,科技酷玩,這是為您精選的無印風充電座，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p026/200/200
p027,無線露營燈,1600,戶外休閒,這是為您精選的無線露營燈，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p027/200/200
p028,無印風客製化相框,600,禮品精選,這是為您精選的無印風客製化相框，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p028/200/200
p029,高質感木質印章,1100,辦公文具,這是為您精選的高質感木質印章，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p029/200/200
p030,速乾防曬乳,400,美容保養,這是為您精選的速乾防曬乳，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p030/200/200
p031,無印風辦公椅,650,居家生活,這是為您精選的無印風辦公椅，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p031/200/200
p032,頂級機械鍵盤,1100,科技酷玩,這是為您精選的頂級機械鍵盤，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p032/200/200
p033,智能登山杖,1750,戶外休閒,這是為您精選的智能登山杖，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p033/200/200
p034,多功能水晶擺飾,1450,禮品精選,這是為您精選的多功能水晶擺飾，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p034/200/200
p035,輕量便利貼,450,辦公文具,這是為您精選的輕量便利貼，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p035/200/200
p036,多功能精華液,1100,美容保養,這是為您精選的多功能精華液，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p036/200/200
p037,無印風地毯,400,居家生活,這是為您精選的無印風地毯，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p037/200/200
p038,天然平板支架,400,科技酷玩,這是為您精選的天然平板支架，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p038/200/200
p039,無印風防水袋,1500,戶外休閒,這是為您精選的無印風防水袋，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p039/200/200
p040,人體工學茶葉禮盒,1000,禮品精選,這是為您精選的人體工學茶葉禮盒，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p040/200/200
p041,無線筆記本,1400,辦公文具,這是為您精選的無線筆記本，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p041/200/200
p042,速乾面膜,600,美容保養,這是為您精選的速乾面膜，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p042/200/200
p043,復古氣氛燈,400,居家生活,這是為您精選的復古氣氛燈，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p043/200/200
p044,極簡藍牙喇叭,950,科技酷玩,這是為您精選的極簡藍牙喇叭，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p044/200/200
p045,便攜後背包,450,戶外休閒,這是為您精選的便攜後背包，屬於戶外休閒分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p045/200/200
p046,智能茶葉禮盒,350,禮品精選,這是為您精選的智能茶葉禮盒，屬於禮品精選分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p046/200/200
p047,防潑水中性筆,1500,辦公文具,這是為您精選的防潑水中性筆，屬於辦公文具分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p047/200/200
p048,人體工學面膜,800,美容保養,這是為您精選的人體工學面膜，屬於美容保養分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p048/200/200
p049,智能掛鐘,850,居家生活,這是為您精選的智能掛鐘，屬於居家生活分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p049/200/200
p050,多功能平板支架,950,科技酷玩,這是為您精選的多功能平板支架，屬於科技酷玩分類，具備優異的品質與設計感，是您的最佳選擇！,https://picsum.photos/seed/p050/200/200
